show-chosen-shop?,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,
[reporter],[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1
,6042,80,38,0,0,41,5382,80,38,0,0,41,5671,80,38,0,0,41,5713,80,38,0,0,41,6553,80,38,0,0,41,6656,80,38,0,0,41,6563,80,38,0,0,41,6493,80,38,0,0,41
,6410,80,38,0,0,41,5670,80,38,0,0,41,5935,80,38,0,0,41,6009,80,38,0,0,41,6953,80,38,0,0,41,7064,80,38,0,0,41,6955,80,38,0,0,41,6869,80,38,0,0,41
,6410,80,38,0,0,41,5670,80,38,0,0,41,5935,80,38,0,0,41,6009,80,38,0,0,41,6953,80,38,0,0,41,7064,80,38,0,0,41,6955,80,38,0,0,41,6869,80,38,0,0,41
,6802,80,38,0,0,41,6102,80,38,0,0,41,6383,80,38,0,0,41,6449,80,38,0,0,41,7337,80,38,0,0,41,7440,80,38,0,0,41,7355,80,38,0,0,41,7277,80,38,0,0,41
,6802,80,38,0,0,41,6102,80,38,0,0,41,6383,80,38,0,0,41,6449,80,38,0,0,41,7337,80,38,0,0,41,7440,80,38,0,0,41,7355,80,38,0,0,41,7277,80,38,0,0,41
,7026,80,39,0,0,41,6294,80,39,0,0,41,6551,80,39,0,0,41,6633,80,39,0,0,41,7633,80,39,0,0,41,7736,80,39,0,0,41,7619,80,39,0,0,41,7549,80,39,0,0,41
,7242,66,39,77,14,41,6474,71,39,22,9,41,6776,64,39,66,16,41,6840,66,39,55,14,41,7876,73,39,11,7,41,7979,70,39,44,10,41,7853,69,39,55,11,41,7756,71,39,55,9,41
,7350,66,39,110,14,41,6537,71,39,55,9,41,6839,64,39,88,16,41,6921,66,39,88,14,41,8011,73,39,44,7,41,8105,70,39,88,10,41,8006,69,39,77,11,41,7891,71,39,88,9,41
,7350,66,39,110,14,41,6537,71,39,55,9,41,6839,64,39,88,16,41,6921,66,39,88,14,41,8011,73,39,44,7,41,8105,70,39,88,10,41,8006,69,39,77,11,41,7891,71,39,88,9,41
,7737,66,39,220,14,41,6942,71,39,132,9,41,7190,64,39,209,16,41,7317,66,39,165,14,41,8560,73,39,110,7,41,8618,70,39,187,10,41,8510,69,39,165,11,41,8422,71,39,176,9,41
,7809,66,39,231,14,41,7077,71,39,143,9,41,7325,64,39,242,16,41,7434,66,39,187,14,41,8560,73,39,110,7,41,8618,70,39,187,10,41,8510,69,39,165,11,41,8422,71,39,176,9,41
,8052,66,39,297,14,41,7239,71,39,187,9,41,7478,64,39,286,16,41,7596,66,39,275,14,41,8803,73,39,154,7,41,8861,70,39,242,10,41,8780,69,39,220,11,41,8665,71,39,220,9,41
,8133,66,39,341,14,41,7320,71,39,198,9,41,7613,64,39,330,16,41,7722,66,39,275,14,41,8938,73,39,154,7,41,8987,70,39,275,10,41,8897,69,39,242,11,41,8764,71,39,264,9,41
,8340,66,39,396,14,41,7500,71,39,242,9,41,7766,64,39,374,16,41,7893,66,39,319,14,41,9235,73,39,198,7,41,9275,70,39,330,10,41,9167,69,39,275,11,41,9043,71,39,297,9,41
,8340,66,39,396,14,41,7500,71,39,242,9,41,7766,64,39,374,16,41,7893,66,39,319,14,41,9235,73,39,198,7,41,9275,70,39,330,10,41,9167,69,39,275,11,41,9043,71,39,297,9,41
,8628,66,39,484,14,41,7788,71,39,308,9,41,8027,64,39,473,16,41,8199,66,39,385,14,41,9622,73,39,253,7,41,9626,70,39,418,10,41,9554,69,39,352,11,41,9430,71,39,385,9,41
,8763,66,40,517,14,41,7887,71,40,319,9,41,8117,64,40,495,16,41,8280,66,40,440,14,41,9730,73,40,264,7,41,9743,70,40,429,10,41,9671,69,40,385,11,41,9538,71,40,396,9,41
,8973,50,40,693,30,41,8117,48,40,506,32,41,8357,53,40,660,27,41,8560,56,40,550,24,41,10000,58,40,374,22,41,9993,55,40,561,25,41,9891,52,40,506,28,41,9748,55,40,539,25,41
,9053,50,40,748,30,41,8167,48,40,561,32,41,8487,53,40,726,27,41,8680,56,40,572,24,41,10100,58,40,429,22,41,10093,55,40,638,25,41,9981,52,40,572,28,41,9828,55,40,616,25,41
,9123,50,40,836,30,41,8207,48,40,627,32,41,8537,53,40,770,27,41,8760,56,40,616,24,41,10230,58,40,484,22,41,10203,55,40,715,25,41,10091,52,40,660,28,41,9948,55,40,682,25,41
